query_id	doc_id	rel	rappel	precision
3990512	3265991_12	2		
3990512	2036065_1	2		
3990512	248974_2	1		
3990512	1772359_2	2		
3990512	3579785_0	2		
3990512	3149758_0	1		
3990512	1949736_5	1		
3990512	3974525_0	2		
3990512	4087614_7	3	0.09090909090909091	0.1111111111111111
3990512	3656872_7	1		
3990512	1173778_3	2		
3990512	1949736_1	1		
3990512	3154563_3	3	0.18181818181818182	0.15384615384615385
3990512	311770_2	3	0.2727272727272727	0.21428571428571427
3990512	667270_1	3	0.36363636363636365	0.26666666666666666
3990512	1860702_0	1		
3990512	3916430_1	2		
3990512	1900286_7	3	0.45454545454545453	0.2777777777777778
3990512	1182425_0	1		
3990512	3749223_0	1		
3990512	4359089_0	2		
3990512	1173778_0	2		
3990512	3270641_1	4	0.5454545454545454	0.2608695652173913
3990512	3990512_1	4	0.6363636363636364	0.2916666666666667
3990512	3538410_2	1		
3990512	4452969_1	1		
3990512	3253458_0	1		
3990512	3980621_2	4	0.7272727272727273	0.2857142857142857
3990512	55529_0	1		
3990512	332116_1	4	0.8181818181818182	0.3
714612	714612_7	4	0.09090909090909091	1.0
714612	714612_0	4	0.18181818181818182	1.0
714612	2781942_4	4	0.2727272727272727	1.0
714612	3069999_1	2		
714612	72439_7	1		
714612	790907_2	3	0.36363636363636365	0.6666666666666666
714612	839374_0	1		
714612	714612_1	4	0.45454545454545453	0.625
714612	1802263_3	1		
714612	1664423_2	1		
714612	2643507_20	1		
714612	714612_9	2		
714612	3800929_1	2		
714612	2188695_4	2		
714612	2781942_0	4	0.5454545454545454	0.4
714612	2380990_9	1		
714612	1369513_9	4	0.6363636363636364	0.4117647058823529
714612	2188695_6	2		
714612	2182052_0	1		
714612	3869822_1	1		
714612	714612_6	2		
714612	3883886_0	1		
714612	4348323_0	1		
714612	3506428_3	1		
714612	1375616_4	1		
714612	2778901_0	1		
714612	1224652_3	1		
714612	3838916_1	1		
714612	714612_2	2		
714612	2175420_5	1		
2528767	2167806_1	3	0.0625	1.0
2528767	2528767_0	4	0.125	1.0
2528767	309724_0	3	0.1875	1.0
2528767	2528767_1	4	0.25	1.0
2528767	4115041_3	4	0.3125	1.0
2528767	3395908_2	4	0.375	1.0
2528767	1654158_1	2		
2528767	2528767_2	4	0.4375	0.875
2528767	2528767_4	4	0.5	0.8888888888888888
2528767	2505332_4	1		
2528767	198085_5	4	0.5625	0.8181818181818182
2528767	198085_4	4	0.625	0.8333333333333334
2528767	2528767_3	4	0.6875	0.8461538461538461
2528767	4303090_0	2		
2528767	1477322_4	1		
2528767	1972970_6	1		
2528767	2646082_0	3	0.75	0.7058823529411765
2528767	3883886_0	2		
2528767	4018891_37	1		
2528767	3676402_1	2		
2528767	2528767_5	4	0.8125	0.6190476190476191
2528767	2142044_1	1		
2528767	823874_7	2		
2528767	1262692_3	1		
2528767	949154_16	1		
2528767	568025_0	1		
2528767	1152934_6	1		
2528767	3801669_0	1		
2528767	949154_6	1		
2528767	42020_0	1		
821387	1082990_5	2		
821387	99035_15	1		
821387	1239473_4	2		
821387	3555026_11	1		
821387	2560941_7	1		
821387	919065_1	1		
821387	3062044_6	2		
821387	821387_7	2		
821387	1308055_11	1		
821387	922849_8	1		
821387	2923156_4	1		
821387	885617_2	1		
821387	199158_5	1		
821387	3867844_17	1		
821387	1588055_4	1		
821387	2627795_2	1		
821387	916432_0	4	0.05	0.058823529411764705
821387	968827_6	1		
821387	3152320_20	1		
