query_id	doc_id
3990512	3265991_12
3990512	2036065_1
3990512	248974_2
3990512	1772359_2
3990512	3579785_0
3990512	3149758_0
3990512	1949736_5
3990512	3974525_0
3990512	4087614_7
3990512	3656872_7
3990512	1173778_3
3990512	1949736_1
3990512	3154563_3
3990512	311770_2
3990512	667270_1
3990512	1860702_0
3990512	3916430_1
3990512	1900286_7
3990512	1182425_0
3990512	3749223_0
3990512	4359089_0
3990512	1173778_0
3990512	3270641_1
3990512	3990512_1
3990512	3538410_2
3990512	4452969_1
3990512	3253458_0
3990512	3980621_2
3990512	55529_0
3990512	332116_1
714612	714612_7
714612	714612_0
714612	2781942_4
714612	3069999_1
714612	72439_7
714612	790907_2
714612	839374_0
714612	714612_1
714612	1802263_3
714612	1664423_2
714612	2643507_20
714612	714612_9
714612	3800929_1
714612	2188695_4
714612	2781942_0
714612	2380990_9
714612	1369513_9
714612	2188695_6
714612	2182052_0
714612	3869822_1
714612	714612_6
714612	3883886_0
714612	4348323_0
714612	3506428_3
714612	1375616_4
714612	2778901_0
714612	1224652_3
714612	3838916_1
714612	714612_2
714612	2175420_5
2528767	2167806_1
2528767	2528767_0
2528767	309724_0
2528767	2528767_1
2528767	4115041_3
2528767	3395908_2
2528767	1654158_1
2528767	2528767_2
2528767	2528767_4
2528767	2505332_4
2528767	198085_5
2528767	198085_4
2528767	2528767_3
2528767	4303090_0
2528767	1477322_4
2528767	1972970_6
2528767	2646082_0
2528767	3883886_0
2528767	4018891_37
2528767	3676402_1
2528767	2528767_5
2528767	2142044_1
2528767	823874_7
2528767	1262692_3
2528767	949154_16
2528767	568025_0
2528767	1152934_6
2528767	3801669_0
2528767	949154_6
2528767	42020_0
821387	1082990_5
821387	99035_15
821387	1239473_4
821387	3555026_11
821387	2560941_7
821387	919065_1
821387	3062044_6
821387	821387_7
821387	1308055_11
821387	922849_8
821387	2923156_4
821387	885617_2
821387	199158_5
821387	3867844_17
821387	1588055_4
821387	2627795_2
821387	916432_0
821387	968827_6
821387	3152320_20
821387	1673450_2
821387	821387_6
821387	866587_0
821387	3884207_1
821387	1115338_0
821387	2068003_5
821387	2843594_2
821387	1496019_1
821387	821387_14
821387	821387_3
821387	821387_18
1880028	4145479_2
1880028	2266582_1
1880028	2776567_3
1880028	1426716_0
1880028	2546325_4
1880028	1880028_0
1880028	4044842_5
1880028	2546325_0
1880028	2881224_6
1880028	332150_1
1880028	1784939_7
1880028	1426716_3
1880028	1880028_3
1880028	1922877_8
1880028	2146313_11
1880028	2674232_1
1880028	4044842_6
1880028	1689492_7
1880028	3652788_0
1880028	4145479_0
1880028	3399136_3
1880028	1110438_2
1880028	751_6
1880028	1190721_1
1880028	845140_9
1880028	4044842_3
1880028	3873627_0
1880028	3053321_0
1880028	552511_4
1880028	1162060_8
4448097	4448097_1
4448097	2240812_3
4448097	3788627_0
4448097	111526_5
4448097	4448097_0
4448097	849485_9
4448097	2235643_5
4448097	1036735_0
4448097	338389_15
4448097	4007949_10
4448097	3511361_10
4448097	4116278_3
4448097	1883395_5
4448097	1642380_26
4448097	2977838_10
4448097	1897011_0
4448097	445880_0
4448097	1897011_1
4448097	3376143_2
4448097	2309072_2
4448097	1166941_1
4448097	3593337_1
4448097	1814059_0
4448097	2855289_1
4448097	3025260_1
4448097	993930_4
4448097	993930_6
